tweet;tema
ser imposible poder dejar bicicleta calle santo prudencio tener recorrer litro;movilidad
hacer tiempo vengar observar canaleta recoger agua situar frente cc d;espacio público
venir portal castilla entrar castillo fontecha rotonda olivo haber unir alcantarilla sumidero;espacio público
decir problema contaminación coche ser dar volver tener sitio parar ap;limpieza
hacer día acumular charco agua rotonda calle santiago final calle extremadura;espacio público
basurero aun haber llegar;limpieza
salar humo contenedor azul;administración pública
colisionar tranvía turismo rotonda txagorritxu;movilidad
ocupación carril c arriurdina c júndiz c basaldea;movilidad
paso separar físicamente bidegorri agradecer;movilidad
normal tal comer jardín vitoriagasteiz verano pasado menos green ser;espacio público
comunicar servicio plaza porticada haber dejar alcorque lleno herbar alta pesar d;espacio público
rechazar cerrar garoña gracia vitoria adiós;administración pública
miedo preguntar x tema d sexotranquilconoce servicio municipal d terapia asesoramiento sexual;administración pública
cisco mundial contrata limpieza urtaran desaparecido;limpieza
vitoriagasteiz accidente tráfico entrar tranvía turismo herido leve servicio emergencia lugar;movilidad
indignación vuelo lanzarotevitoria desviar loiu foronda cerrar;movilidad
querer dar parte comportamiento imprudente punible hablar teléfono móvil mientras conducir conducto;delincuencia
sansomendi seguir sufrir olor pescado podrir;limpieza
odio absoluto eterno persona tener acera enterar poner caminar carril bici;espacio público
semáforo calle olaguibel cruzar calle fuero encuentro absolutamente innecesario tras;movilidad
vy pmibio haber sufrido atasco haber llegar tarde prever avión pers;movilidad
ser cola leioa parar hacer transbordo autobús;movilidad
suciedad papelera rebosar pleno anillo verde semana lamentable vitoriagasteiz;limpieza
lucir necesario bicireflectante catadióptrico trasero color rojoluz posición blanco delanteraluz d;movilidad
poder explicar abro ventana venir olor mierda aguantar vaca;limpieza
promover zona verde paseo carril bici instalación público colegio;administración pública
hola hacer mas dos semana hacer solicitud parar contenedor marrón aun haber contestar;limpieza
arreglar baldosa suelta salida tranvi hondura qe siempre piso hoy haber salpicar;espacio público
robo aparcabicis convivencia tarea pendiente día mundial bici;delincuencia
bizikleteroak intención advertir ayuntamiento situación suceder tramo entrar;movilidad
odio tráfico;movilidad
tranvía ser transporte alta capacidad contaminante mejorar calidad vida vecindario decir;movilidad
esperar si árbol cumplir ordenanza referente distancia adecuar deber talar;espacio público
herido accidente entrar turismo tranvía vitoria;movilidad
policía local tres herido accidentar tráfico;delincuencia
holaquería informar contenedor gris esquina calle hortaleza anglovasco aparecer;limpieza
calle cadena eleta solo haber dos contenedor ir cambiar diariamente tal forma baja;limpieza
querer conocer si haber abrir expediente contratación parar servicio limpieza centro civico;limpieza
vía twitter foxcoruna proponer mejorar seguridad peatón ciclista espejo cruzar portal fo;movilidad
holami problema residir mañana conducir calle luis heintz dirección pla;movilidad
conductor bus conducir bien mal;movilidad
últimamente ser unir pasada rotonda farmaciapanaderabanco ahhay par coche doble fila;movilidad
parecer unir verguenza cortar hierba barrio extrarradio hacer dar pena ver página;limpieza
movilidad activar ser gran parte solución problema congestión urbano;movilidad
ertzaintza detener vitoria menor apuñalar joven pecho;delincuencia
ocupación carril izquierdo c rey católico;movilidad
detenido tras robar intimidación unir panadería vitoria;delincuencia
olor pescado podrir seguir sansomendi pesar empresa cumplir;limpieza
zorro morir cepo ilegal instalar unir huerta elorriaga vitoriagasteizvía;delincuencia
intento homicidio vitoriadetenido menor vitoriagasteiz;delincuencia
bizikleteroak prever modificar sentido circulación parar bicicleta portal legutiano vit;movilidad
año haber volver colocar mismo sitio torcido seguir ser problema riesgo parar ciclist;espacio público
accidentar tranvía poder ser cantidad dejar tener gravedad;movilidad
actualmente existir inventario arbolado callar dirigir público proximamente actualizar i;espacio público
gato atropellar gasolinera onaindia zona arriaga vitoriabuscamos alimentador zona si pudi;espacio público
presión consistir solamente mostrar foto container basura rodear rata ser mismo;limpieza
si concejal pega limpieza vitoria decir punto;administración pública
ser green;administración pública
ser útil informar número máximo visitante grupoturismoservicios producto;administración pública
asco ser viajar bus;movilidad
comunicar bordillo acera hua encontrar mal afilado hoy haber revolución;espacio público
ertzaina turno buesa seguridad resto vitoria baskonia;administración pública
dar ayuda parar paliar daño ser admitir tranvía ser disparate seguir pedir paralización;movilidad
contenedor gris basura calle florido estropear palanca parar abrir pie haber roto;limpieza
plaga rata falta limpieza callar;limpieza
parar funcionamiento mãs eficaz buzãn ciudadano estemedio ambiente sostenibilidadcontaminaci;administración pública
bueno tardar ser unir vecino calle flandes hacer aproximadamente mes llevar llamar numerosísim;movilidad
sabeis haber pasado tranvia ir alla parada hondura salir ibaiondo abetxuko;movilidad
lanzar contenedor vitoria hombre acosar unir cliente bar;delincuencia
holame recordar vez horitas entrar rodilla autobús ser alsa;movilidad
asociación vecino adurza evitar respaldar ampliacin tranvía sur;movilidad
proponer consistorio regular paso vehículo carrilbus estación autobús cámara santo;administración pública
ocupación carril izquierdo c heraclio fourniery parte derecho;movilidad
si contrato viaje conquiero ir autobús compañía unir subcontrata comer rubimar haber espacio;movilidad
ptal betoño frente moblar tuco haber sumidero acera tapa avisar enero;espacio público
seguir pensar pavo tranvía faltar tres cuatro verano;movilidad
corte c cerca baja entrar c félix maría samaniego beato tomás zumárraga;movilidad
avería nivel rojo pk subijana alavasubillanagasteiz dgtaraba dgt;movilidad
robo bicicleta vitoriagasteiz ser unir lacra terminar;delincuencia
opinión desafortunado modelo aparcabicis tirar bici ser doblar llanta decir;movilidad
haber puesto piso turístico edificio situación ser cada vez peor ruido fiesta música alta hora madrugada;espacio público
cepo ilegal atrapar zorro elorriaga;delincuencia
hacer falta donación sangre vitoria;administración pública
haber posible escenario empresa limpieza seguir contrato licitar nuevo ayto asumir gestión directo;limpieza
cuándo pensar poner cartel autovía eibar vitoria;movilidad
paso peatón salida rotonda apartacamientos llegar paso dejar visibilidad condutor peatón;movilidad
jardín salburua unir acumulación suciedad;limpieza
ocupación carril derecho c júndiz sentido zurrupitieta;movilidad
puta paloma vitoria cada día tonto;limpieza
resto papelitos campo papelera haber marrano suelto pesar;limpieza
vivo casco viejo comer ayuntamiento llama casco medieval querer instalar fibra optica;administración pública
bueno tardar ser unir vecino calle flandes haber barrio unir plataforma denominar tranvianotaldea;movilidad
tánger tener ninguno interés rehabilitar palacio álava ayuntamiento debe iniciar expropiación;administración pública
ser día primero vez dos año llevar bici carretera ir salir ir correr dar miedo;movilidad
hola vitoria ir green capital apuesta bici;administración pública
bonito tener esquivar contenedor puto medio calle;espacio público
fcc seguir cumplir pactar ser hora rescindir contrato ayuntamiento preste servicio limpieza;limpieza
ayer accidente entrar turismo tranvía vitoria fotosvitoriagasteiz;movilidad
decir cuerda tranvía deber haberse quedar lovaina;movilidad
green capital zorro morir cepo ilegal instalar unir huerta vitoriagasteiz vía;delincuencia
paso peatón colegio caballero rosa alejar rotonda parar mejorar seguridad peatón;movilidad
calle dulzaina altura número tres haber contenedor gris alguno irresponsable haber tirado basura ir;limpieza
unir radio vitoriagasteiz presumir libre veta colaborador meterse albert rivera marhuendastyle;administración pública
fiesta vitoria parar traer cantante ayuntamiento tener gusto culo;administración pública
euskadi detenido menor vitoria intento homicidio tras agredir joven cuchillo;delincuencia
increíble gente dar cuenta encimar unir bici ir unir vida unir familia;movilidad
ocupación puntual carril derecho avda gasteiz cruzar c lascaray;movilidad
eh bildu podar irabazi pedir gestión directo servicio limpieza;limpieza
ocupación carril izquierdo c toni morrison;movilidad
ayuntamiento vitoria negar retraso obra centro cívico zabalgana;administración pública
hacer tiempo escribir ayuntamiento parada olaguibel ser unir parada enorme;movilidad
concejal enfadar vitoria sucio vitoriagasteiz;limpieza
ocupación carril cruzar c júndiz c arriurdina;movilidad
olor humo palacio europa madrugada vitoriagasteiz;espacio público
siempre salgar andar bici ir tener ir temor podar ser atropellar dejar distancia;movilidad
poder compar entrada online menos vitoria dar opción aun gracia;administración pública
ocupación carril alternativamente c florido;movilidad
choque entrar coche bus américa latinar;movilidad
endurecer ley tráfico haber q hacer;movilidad
sorprender varios delincuente vitoria conducción errático;delincuencia
quito viejo poner papelera lugar espacio público mobiliario urbano;espacio público
contrata limpieza cumplir acordar trabajador segn;limpieza
policía local hallar tres arma blanco vehículo conductor prestar ayuda;delincuencia
hoy día mayo resto sala biblioteca cerrada excepto sala estudio salburua pilar;administración pública
calle florido frente número existir unir plaza parar aparcamiento vehículo tarjeta minusválid;movilidad
personalmente crear tranvía deber soterrar superficie ser peligro aparte afear ciudad;movilidad
asteguieta haber unir huerta ilegal lado río zadorra regar verdura agua;administración pública
horario web tener autobús parar subir uni ocho media autobús lol;movilidad
cazar tres ladrón vitoria huella zapato;delincuencia
exigir conela gestión directo servicio limpieza ahorrar coste;limpieza
preguntar comisión medio ambiente medida vigilancia si haber parar evitar barbaridad;limpieza
mejorar vial aparcabicis;movilidad
bidireccionalidad q haber hecho calle avisar menudo susto;movilidad
paseo peatonal hecho zorro vitoriagasteiz;limpieza
exigir gestión directo servicio limpieza ahorrar coste;limpieza
jubilado demandar vitoria unir pensión público dignar;administración pública
papelera rebosar anillo verde vitoria;limpieza
presentar queja ubicación máquina número parar ser atender oac sic centro civico;administración pública
tener hacer si haber ser sancionar unir infracción tráfico;movilidad
ocupación carril izquierdo c alto armentia entrar rotonda antonia c iruña veleia;movilidad
parecer curioso ausencia tráfico zona señal concentrar;movilidad
tráfico ser terrible casi hora entrar unir rotonda ser unir aventura regla;movilidad
rotonda absurdo nadie saber cómo tomarlas semáforo;movilidad
plataforma tranvía decir cuerda tranvía deber haberse quedar lovaina;movilidad
falta contenedor vidrio calle koldo mitxelena cercano n ordm calle gracia estr;limpieza
tres detener robo unir empresa júndiz;delincuencia
ser hora rescindir contrato fcc limpieza gasteiz realizar manera directo ayuntamiento;limpieza
podar dejar limpieza gasteiz mano insaciable multinacional comer fcc remunicipalizacion;limpieza
último fiesta zabalgana adolescente romper vallado solar calle juan gris;delincuencia
estimar representante ayuntamientoen frente declaración rio haber unir farola falta espejo;espacio público
querer unir gasteiz limpia cumplir condición trabajador urtaran debe decidir;limpieza
taxista parar almorzar calle castilla minuto coche vado luego deja minuto coche unir parada vacia ver;movilidad
gato nuevo pichi abetxukojajajaja litro vitoria entender pongobuen descanso gentehasta mañana;delincuencia
urtaran vitoriagasteiz ser green estrategia ciudad;administración pública
problema tranvía vitoria ser parar llegar barrio necesitar tener pasar barrio querer;movilidad
video guerra papel metro calle dato suciedad;limpieza
colegio calle ariznabarra deber haber atención policial hora puntual sa;movilidad
seguir pintar plaza movilidad reducir pmr esperar movilidad transportar eãalizaciã;movilidad
ocupación carril c herreria;movilidad
euskadi oposición presionar urtaran parar unir empresa público limpiar vitoria;limpieza
trazado tranvía ser talar árbol;movilidad
vitoriagasteiz lainvestiga unir persona x usar cepo ilegal haber provocar muerte zorro;delincuencia
calle gabriel celaya altura portal haber unir baldosa peligroso encontrar señalizar;espacio público
obstáculo nivel rojo n pk vitoriagasteiz dgtaraba dgt;movilidad
multa haberla atado lateral banco ke haber robar rueda ser green;delincuencia
ciudad ley seguir ocupación piso vitoria vitoriagasteiz;administración pública
turismo bus chocar américa latinar;movilidad
ruido parecer innecesario;espacio público
tirar colilla suelo ensuciar callar generar problema medio ambiente tambin habra ser cívico green;espacio público
cómo ser posible solo autobús leioa parar llevar ir metro bilbao incomprensible;movilidad
contenedor marrón terminar arrancar solo usar elde donostiarra ser preocupante;limpieza
parking autocaravanas portal foronda queda pequeño;movilidad
quemar polígono aligobeo vitoriagasteiz;espacio público
lapolicía local sorprender dos joven pintar ciclomotor robar;delincuencia
verdad tener autobús ser surrealista;movilidad
solicitar valorar poner bolardo protección entrada colegio marianistas koldo mitxelena página;espacio público
edificio antiguo aislamiento problema accesibilidad pleno ensanche;espacio público
pues coche poder ir currar comer bus deja cerca;movilidad
ir bici siempre bidegorri meter carretera loco paso perder vida;movilidad
durar durar conflicto limpieza vitoria;limpieza
eh bildu podar irabazi pedir ayuntamiento asumir gestión directo servicio limpieza;limpieza
avda huetos partir numerar adolecer papelera solicitar colocar alguno dicha zona;limpieza
madre mia ruido ser inaguantable;espacio público
huir coche tras embestir ciclista vitoria;delincuencia
iluminación exterior catedral nueva encender mañana contaminación lumínico horar;espacio público
asco dar paloma vitoria colega asustar;limpieza
vitoriagasteiz ser unir ciudad usar bici aun tener alguno tarea pendiente;movilidad
podria hacer unir organización basura servicio vergüenza trabajar sitio asi;limpieza
ocupación carril derecho plaza lovaina sancho sabio;movilidad
gustar saber cuándo tener pensar multar unir vez ciclista saltar semáforo circular;delincuencia
hoy comer día haber volver tener problema valentín foronda parque infantil;espacio público
cortes puntual c santo domingo cruzar c correría;movilidad
jueves abril virgen blanco violencia generar;delincuencia
ocupación carril izquierdo esquina c santo antonio c florido;movilidad
acumulación basura paseo estrasburgo;limpieza
corte carril bus c adriano ver;movilidad
cliente preferir calidad cantidad unir hora viaje poder sentarme culpa página;movilidad
delincuencia robar unir panadería intentar kiosko vitoria vitoriagasteiz;delincuencia
unir maleta olvidar obligar desalojar estación autobús vitoriagasteiz;espacio público
luego porqué transporte público vitoria ser tan criticar;movilidad
iquest ayuntamiento deber exigir contrata jardín hacer menos ruido posible iquest;limpieza
si ser green vitoria campo fútbol centro ciudad ir partido coche;movilidad
seguir producir timo vitoria haber acercar señor mañana calle go;delincuencia
ocupación puntual carril c beato tomás zumárraga corte carril bici;movilidad
deseo saber si plan aprobado exacto respecto ibiurbanismoviviendaplan;administración pública
pájaro cantar ligar menos ruido tráfico;espacio público
prever alguno autobús urbano llegar zona jundiz oeste zona margarita f;movilidad
